EmployeeID ,Gender ,Age ,HireDate  ,YearsAtCompany ,Grade ,SalaryPerAnnum ,Country   ,SBU   ,BuisnesUnit            ,Practice        ,PerformanceScore ,GABL     ,EmploymentType ,Department ,AttritionRisk ,PromotionEligible ,ActiveStatus
E00016      ,Female , 59 ,2003-07-24 ,              22 ,E     ,         3320000 ,UK        ,CIS   ,Retail        ,Data & AI       ,Poor              ,Offshore ,Contract        ,Finance    ,Low            ,Yes                ,Inactive
E00017      ,Male   , 57 ,2008-07-31 ,              17 ,E     ,         2020000 ,France    ,APAC  ,Energy        ,Human Resources ,Good              ,Offshore ,Part-Time       ,Sales      ,High           ,No                 ,Inactive
E00018      ,Male   , 36 ,2009-02-12 ,              16 ,E     ,         3380000 ,Singapore ,NA    ,Manufacturing ,Digital         ,Below Average     ,Offshore ,Full-Time       ,Legal      ,Medium         ,Yes                ,Inactive
E00019      ,Male   , 30 ,2007-05-16 ,              18 ,C     ,         1510000 ,Singapore ,EU    ,Insurance     ,Digital         ,Poor              ,Onshore  ,Contract        ,HR         ,Low            ,No                 ,Inactive
E00020      ,Male   , 24 ,2017-02-10 ,               8 ,B     ,         1110000 ,USA       ,MEA   ,Retail        ,Engineering     ,Good              ,Offshore ,Part-Time       ,Marketing  ,Medium         ,No                 ,Active
E00021      ,Female , 27 ,2007-02-02 ,              18 ,C     ,         1430000 ,Singapore ,CIS   ,Insurance     ,Human Resources ,Good              ,Onshore  ,Contract        ,Finance    ,Low            ,No                 ,Active
E00022      ,Female , 60 ,2007-10-08 ,              18 ,E     ,          980000 ,Germany   ,NA    ,Telecom       ,Data & AI       ,Average           ,Onshore  ,Full-Time       ,Legal      ,High           ,Yes                ,Inactive
E00023      ,Male   , 52 ,2023-02-21 ,               2 ,B     ,          770000 ,France    ,APAC  ,Retail        ,Digital         ,Good              ,Offshore ,Contract        ,Marketing  ,High           ,No                 ,Inactive
E00024      ,Male   , 55 ,2019-03-22 ,               6 ,E     ,         3500000 ,Singapore ,EU    ,Banking       ,Digital         ,Good              ,Onshore  ,Part-Time       ,Operations ,Low            ,Yes                ,Active
E00025      ,Female , 30 ,2004-10-22 ,              21 ,F     ,         1740000 ,USA       ,APAC  ,Manufacturing ,Human Resources ,Good              ,Onshore  ,Contract        ,Marketing  ,Low            ,No                 ,Inactive
E00026      ,Female , 31 ,2014-10-26 ,              11 ,D     ,         2750000 ,India     ,EU    ,Energy        ,Data & AI       ,Average           ,Offshore ,Full-Time       ,Operations ,Low            ,No                 ,Active
E00027      ,Female , 34 ,2001-06-07 ,              24 ,F     ,         1710000 ,Singapore ,LATAM ,Public Sector ,Digital         ,Good              ,Offshore ,Full-Time       ,HR         ,Low            ,No                 ,Active
E00028      ,Female , 41 ,2020-10-04 ,               5 ,F     ,         3280000 ,Japan     ,MEA   ,Banking       ,Digital         ,Below Average     ,Onshore  ,Part-Time       ,Sales      ,High           ,No                 ,Active
E00029      ,Female , 40 ,2000-09-01 ,              25 ,B     ,         2510000 ,USA       ,LATAM ,Banking       ,Consulting      ,Poor              ,Offshore ,Full-Time       ,Legal      ,Medium         ,Yes                ,Inactive
E00030      ,Male   , 44 ,2017-05-24 ,               8 ,C     ,         2480000 ,India     ,NA    ,Retail        ,Consulting      ,Average           ,Onshore  ,Contract        ,Sales      ,Low            ,Yes                ,Inactive
E00031      ,Female , 42 ,2014-05-25 ,              11 ,F     ,         1350000 ,India     ,APAC  ,Banking       ,Data & AI       ,Average           ,Onshore  ,Full-Time       ,Marketing  ,Medium         ,Yes                ,Active
E00032      ,Female , 55 ,2007-10-21 ,              18 ,B     ,         3110000 ,Japan     ,NA    ,Banking       ,Technology      ,Below Average     ,Offshore ,Part-Time       ,Marketing  ,High           ,No                 ,Active
E00033      ,Female , 60 ,2020-06-22 ,               5 ,D     ,         1550000 ,Australia ,CIS   ,Energy        ,Digital         ,Below Average     ,Offshore ,Part-Time       ,IT         ,Low            ,No                 ,Active
E00034      ,Female , 46 ,2019-12-23 ,               6 ,D     ,         2270000 ,Australia ,LATAM ,Retail        ,Human Resources ,Poor              ,Onshore  ,Part-Time       ,Marketing  ,High           ,No                 ,Inactive
E00035      ,Female , 40 ,2020-09-09 ,               5 ,E     ,         3280000 ,Singapore ,MEA   ,Retail        ,Data & AI       ,Good              ,Onshore  ,Part-Time       ,Marketing  ,Low            ,No                 ,Active
E00036      ,Male   , 32 ,2020-12-27 ,               5 ,F     ,         1020000 ,France    ,MEA   ,Manufacturing ,Human Resources ,Below Average     ,Offshore ,Contract        ,Legal      ,High           ,No                 ,Active
E00037      ,Male   , 46 ,2008-02-27 ,              17 ,F     ,         1930000 ,USA       ,MEA   ,Retail        ,Engineering     ,Excellent         ,Onshore  ,Full-Time       ,Finance    ,High           ,Yes                ,Active
E00038      ,Male   , 25 ,2005-02-04 ,              20 ,D     ,         2910000 ,India     ,NA    ,Public Sector ,Data & AI       ,Good              ,Onshore  ,Contract        ,Marketing  ,Low            ,Yes                ,Active
E00039      ,Female , 25 ,2023-03-13 ,               2 ,E     ,         2790000 ,Singapore ,EU    ,Public Sector ,Technology      ,Average           ,Offshore ,Contract        ,Operations ,High           ,Yes                ,Inactive
E00040      ,Female , 49 ,2002-07-23 ,              23 ,B     ,         1160000 ,Brazil    ,CIS   ,Public Sector ,Consulting      ,Average           ,Onshore  ,Part-Time       ,Sales      ,Medium         ,No                 ,Inactive
E00041      ,Female , 41 ,2011-01-17 ,              14 ,A     ,         1810000 ,Germany   ,EU    ,Retail        ,Digital         ,Below Average     ,Offshore ,Part-Time       ,Finance    ,Low            ,No                 ,Active
E00042      ,Female , 23 ,2004-01-16 ,              21 ,E     ,         3070000 ,Australia ,FF    ,Insurance     ,Digital         ,Average           ,Offshore ,Part-Time       ,HR         ,High           ,Yes                ,Inactive
E00043      ,Male   , 47 ,2018-05-01 ,               7 ,D     ,          870000 ,Germany   ,MEA   ,Banking       ,Engineering     ,Average           ,Offshore ,Contract        ,Legal      ,High           ,No                 ,Inactive
E00044      ,Male   , 34 ,2012-03-01 ,              13 ,F     ,         1000000 ,Canada    ,APAC  ,Public Sector ,Consulting      ,Below Average     ,Onshore  ,Part-Time       ,Finance    ,Medium         ,No                 ,Inactive
E00045      ,Female , 35 ,2013-02-22 ,              12 ,C     ,         3060000 ,India     ,APAC  ,Energy        ,Data & AI       ,Average           ,Offshore ,Contract        ,Legal      ,Medium         ,No                 ,Inactive
E00046      ,Female , 25 ,2002-02-12 ,              23 ,A     ,         1070000 ,Canada    ,EU    ,Retail        ,Human Resources ,Excellent         ,Onshore  ,Part-Time       ,Sales      ,High           ,No                 ,Inactive
E00047      ,Male   , 49 ,2003-01-27 ,              22 ,A     ,          810000 ,India     ,FF    ,Banking       ,Cybersecurity   ,Good              ,Onshore  ,Part-Time       ,HR         ,Medium         ,No                 ,Active
E00048      ,Male   , 26 ,2014-09-08 ,              11 ,D     ,          960000 ,India     ,MEA   ,Energy        ,Engineering     ,Poor              ,Offshore ,Contract        ,Finance    ,Medium         ,No                 ,Inactive
E00049      ,Male   , 56 ,2021-01-22 ,               4 ,C     ,         3370000 ,Singapore ,APAC  ,Public Sector ,Cybersecurity   ,Good              ,Offshore ,Full-Time       ,Finance    ,Low            ,No                 ,Inactive
E00050      ,Male   , 35 ,2003-05-13 ,              22 ,B     ,         3100000 ,Japan     ,MEA   ,Retail        ,Technology      ,Excellent         ,Offshore ,Part-Time       ,Legal      ,High           ,Yes                ,Active
E00051      ,Female , 23 ,2006-08-07 ,              19 ,D     ,         2360000 ,UK        ,FF    ,Banking       ,Consulting      ,Average           ,Offshore ,Contract        ,HR         ,High           ,No                 ,Active
E00052      ,Male   , 33 ,2008-09-23 ,              17 ,A     ,          770000 ,Canada    ,FF    ,Energy        ,Data & AI       ,Average           ,Onshore  ,Full-Time       ,Sales      ,Medium         ,Yes                ,Inactive
E00053      ,Female , 49 ,2016-11-20 ,               9 ,E     ,          970000 ,Australia ,LATAM ,Banking       ,Data & AI       ,Good              ,Offshore ,Full-Time       ,Sales      ,High           ,Yes                ,Active
E00054      ,Female , 49 ,2009-02-20 ,              16 ,F     ,         2410000 ,USA       ,FF    ,Retail        ,Cybersecurity   ,Average           ,Offshore ,Part-Time       ,Legal      ,Medium         ,No                 ,Inactive
E00055      ,Female , 27 ,2006-07-13 ,              19 ,A     ,         2970000 ,UK        ,CIS   ,Insurance     ,Cybersecurity   ,Average           ,Onshore  ,Contract        ,Operations ,High           ,No                 ,Active
E00056      ,Female , 27 ,2002-05-05 ,              23 ,C     ,         2470000 ,Singapore ,NA    ,Manufacturing ,Data & AI       ,Average           ,Offshore ,Contract        ,HR         ,Medium         ,Yes                ,Inactive
E00057      ,Male   , 52 ,2008-11-13 ,              17 ,E     ,         1090000 ,Canada    ,MEA   ,Manufacturing ,Technology      ,Average           ,Offshore ,Contract        ,Finance    ,Medium         ,Yes                ,Active
E00058      ,Male   , 48 ,2023-09-11 ,               2 ,D     ,          790000 ,India     ,LATAM ,Energy        ,Digital         ,Below Average     ,Onshore  ,Contract        ,HR         ,High           ,Yes                ,Inactive
E00059      ,Male   , 27 ,2022-01-30 ,               3 ,A     ,          730000 ,Canada    ,APAC  ,Public Sector ,Human Resources ,Average           ,Onshore  ,Full-Time       ,Legal      ,Low            ,Yes                ,Active
E00060      ,Female , 25 ,2021-04-19 ,               4 ,E     ,         1860000 ,Canada    ,APAC  ,Insurance     ,Engineering     ,Good              ,Onshore  ,Full-Time       ,HR         ,High           ,Yes                ,Active
E00061      ,Female , 25 ,2018-09-13 ,               7 ,F     ,         2960000 ,France    ,APAC  ,Energy        ,Data & AI       ,Average           ,Onshore  ,Contract        ,Marketing  ,Medium         ,No                 ,Active
E00062      ,Male   , 30 ,2019-04-01 ,               6 ,B     ,         2210000 ,Brazil    ,LATAM ,Insurance     ,Data & AI       ,Average           ,Onshore  ,Contract        ,Sales      ,Low            ,No                 ,Inactive
E00063      ,Male   , 34 ,2001-11-21 ,              24 ,A     ,         3040000 ,Germany   ,FF    ,Banking       ,Digital         ,Average           ,Offshore ,Part-Time       ,IT         ,Medium         ,No                 ,Active
E00064      ,Female , 45 ,2008-09-25 ,              17 ,E     ,         2370000 ,Germany   ,MEA   ,Public Sector ,Human Resources ,Average           ,Offshore ,Contract        ,Sales      ,Medium         ,No                 ,Inactive
E00065      ,Male   , 54 ,2000-09-02 ,              25 ,E     ,         3480000 ,Singapore ,NA    ,Energy        ,Consulting      ,Good              ,Offshore ,Full-Time       ,Sales      ,High           ,Yes                ,Inactive
E00066      ,Female , 22 ,2012-10-28 ,              13 ,F     ,         2180000 ,Canada    ,CIS   ,Retail        ,Data & AI       ,Excellent         ,Offshore ,Part-Time       ,Sales      ,Low            ,Yes                ,Active
E00067      ,Female , 41 ,2016-09-05 ,               9 ,B     ,         1660000 ,Singapore ,FF    ,Banking       ,Human Resources ,Average           ,Offshore ,Part-Time       ,Marketing  ,Medium         ,No                 ,Active
E00068      ,Female , 24 ,2013-09-12 ,              12 ,F     ,         3150000 ,Singapore ,FF    ,Retail        ,Digital         ,Average           ,Onshore  ,Full-Time       ,Operations ,High           ,No                 ,Inactive
E00069      ,Female , 41 ,2021-04-13 ,               4 ,E     ,          910000 ,Germany   ,NA    ,Energy        ,Technology      ,Average           ,Offshore ,Contract        ,Marketing  ,Low            ,No                 ,Inactive
E00070      ,Male   , 50 ,2009-09-19 ,              16 ,A     ,         1430000 ,Japan     ,CIS   ,Retail        ,Data & AI       ,Average           ,Onshore  ,Part-Time       ,HR         ,Medium         ,No                 ,Inactive
E00071      ,Female , 29 ,2011-07-04 ,              14 ,D     ,         3040000 ,Singapore ,LATAM ,Energy        ,Human Resources ,Average           ,Onshore  ,Contract        ,Marketing  ,High           ,Yes                ,Inactive
E00072      ,Female , 54 ,2018-03-16 ,               7 ,C     ,         2180000 ,Brazil    ,NA    ,Manufacturing ,Technology      ,Poor              ,Onshore  ,Part-Time       ,Legal      ,Medium         ,No                 ,Active
E00073      ,Male   , 33 ,2021-09-17 ,               4 ,C     ,          880000 ,Canada    ,FF    ,Insurance     ,Engineering     ,Good              ,Offshore ,Contract        ,Operations ,High           ,No                 ,Active
E00074      ,Female , 29 ,2008-03-14 ,              17 ,D     ,         2130000 ,USA       ,FF    ,Manufacturing ,Data & AI       ,Average           ,Offshore ,Contract        ,Marketing  ,High           ,No                 ,Active
E00075      ,Female , 54 ,2017-11-17 ,               8 ,F     ,         1530000 ,Brazil    ,EU    ,Energy        ,Technology      ,Average           ,Offshore ,Part-Time       ,Sales      ,Medium         ,No                 ,Active
E00076      ,Male   , 56 ,2012-11-22 ,              13 ,F     ,         3110000 ,Canada    ,NA    ,Banking       ,Technology      ,Average           ,Onshore  ,Contract        ,Sales      ,High           ,No                 ,Active
E00077      ,Male   , 56 ,2019-01-25 ,               6 ,F     ,         2680000 ,Germany   ,CIS   ,Telecom       ,Human Resources ,Average           ,Offshore ,Part-Time       ,Finance    ,Medium         ,No                 ,Inactive
E00078      ,Male   , 60 ,2014-03-02 ,              11 ,D     ,         2090000 ,Canada    ,APAC  ,Telecom       ,Data & AI       ,Below Average     ,Onshore  ,Contract        ,IT         ,Low            ,Yes                ,Active
E00079      ,Female , 60 ,2010-08-30 ,              15 ,A     ,         3180000 ,USA       ,LATAM ,Energy        ,Data & AI       ,Poor              ,Offshore ,Full-Time       ,Legal      ,High           ,Yes                ,Inactive
E00080      ,Male   , 36 ,2007-12-31 ,              18 ,E     ,         2460000 ,Australia ,APAC  ,Manufacturing ,Cybersecurity   ,Good              ,Onshore  ,Full-Time       ,Marketing  ,High           ,No                 ,Active
E00081      ,Male   , 55 ,2019-01-15 ,               6 ,A     ,         1220000 ,Japan     ,EU    ,Insurance     ,Human Resources ,Good              ,Onshore  ,Contract        ,HR         ,Medium         ,No                 ,Active
E00082      ,Female , 44 ,2007-04-15 ,              18 ,B     ,         1580000 ,Brazil    ,NA    ,Telecom       ,Engineering     ,Average           ,Offshore ,Contract        ,Sales      ,Low            ,Yes                ,Inactive
E00083      ,Male   , 52 ,2003-11-15 ,              22 ,D     ,          830000 ,Canada    ,FF    ,Telecom       ,Cybersecurity   ,Average           ,Offshore ,Contract        ,Sales      ,Medium         ,No                 ,Active
E00084      ,Male   , 31 ,2005-04-17 ,              20 ,A     ,         1510000 ,France    ,APAC  ,Public Sector ,Data & AI       ,Excellent         ,Offshore ,Full-Time       ,Finance    ,Low            ,No                 ,Active
E00085      ,Male   , 56 ,2003-08-12 ,              22 ,E     ,         1480000 ,Japan     ,EU    ,Manufacturing ,Technology      ,Good              ,Offshore ,Contract        ,IT         ,Medium         ,No                 ,Active
E00086      ,Male   , 49 ,2017-06-13 ,               8 ,B     ,         1980000 ,Canada    ,CIS   ,Banking       ,Consulting      ,Average           ,Onshore  ,Contract        ,Legal      ,High           ,Yes                ,Inactive
E00087      ,Male   , 59 ,2011-04-02 ,              14 ,E     ,         1850000 ,USA       ,NA    ,Manufacturing ,Technology      ,Good              ,Onshore  ,Contract        ,Marketing  ,Low            ,Yes                ,Inactive
E00088      ,Female , 59 ,2005-11-23 ,              20 ,C     ,          830000 ,Canada    ,LATAM ,Energy        ,Technology      ,Excellent         ,Onshore  ,Full-Time       ,IT         ,Medium         ,Yes                ,Active
E00089      ,Male   , 30 ,2003-02-07 ,              22 ,E     ,         2450000 ,Canada    ,EU    ,Retail        ,Digital         ,Average           ,Offshore ,Full-Time       ,Sales      ,Medium         ,No                 ,Inactive
E00090      ,Female , 47 ,2005-06-16 ,              20 ,F     ,         1580000 ,India     ,NA    ,Telecom       ,Consulting      ,Average           ,Offshore ,Full-Time       ,IT         ,High           ,Yes                ,Active
E00091      ,Male   , 42 ,2010-10-09 ,              15 ,B     ,         3010000 ,France    ,MEA   ,Insurance     ,Digital         ,Average           ,Onshore  ,Full-Time       ,Sales      ,Medium         ,No                 ,Active
E00092      ,Female , 27 ,2004-10-06 ,              21 ,C     ,         1530000 ,Germany   ,MEA   ,Retail        ,Data & AI       ,Poor              ,Onshore  ,Part-Time       ,Sales      ,Medium         ,Yes                ,Inactive
E00093      ,Female , 50 ,2018-08-30 ,               7 ,F     ,          750000 ,Australia ,CIS   ,Banking       ,Human Resources ,Good              ,Onshore  ,Part-Time       ,HR         ,High           ,No                 ,Active
E00094      ,Male   , 50 ,2020-05-04 ,               5 ,E     ,         2760000 ,Singapore ,NA    ,Telecom       ,Consulting      ,Average           ,Offshore ,Full-Time       ,Operations ,Low            ,Yes                ,Inactive
E00095      ,Male   , 33 ,2014-06-15 ,              11 ,B     ,          800000 ,Australia ,NA    ,Manufacturing ,Digital         ,Good              ,Offshore ,Contract        ,Sales      ,Medium         ,Yes                ,Active
E00096      ,Male   , 51 ,2006-01-31 ,              19 ,D     ,         2340000 ,USA       ,EU    ,Banking       ,Human Resources ,Average           ,Onshore  ,Contract        ,Finance    ,High           ,No                 ,Active
E00097      ,Male   , 49 ,2021-11-21 ,               4 ,E     ,         2820000 ,France    ,CIS   ,Retail        ,Data & AI       ,Average           ,Onshore  ,Contract        ,Marketing  ,Low            ,Yes                ,Active
E00098      ,Male   , 53 ,2022-08-24 ,               3 ,F     ,         2840000 ,Canada    ,MEA   ,Retail        ,Consulting      ,Good              ,Onshore  ,Part-Time       ,Finance    ,High           ,Yes                ,Active
E00099      ,Male   , 50 ,2021-03-01 ,               4 ,B     ,         2290000 ,France    ,EU    ,Public Sector ,Consulting      ,Good              ,Offshore ,Full-Time       ,HR         ,Medium         ,Yes                ,Active
E00100      ,Male   , 54 ,2014-06-25 ,              11 ,E     ,         3500000 ,France    ,EU    ,Manufacturing ,Human Resources ,Excellent         ,Offshore ,Contract        ,Operations ,High           ,No                 ,Active
E00101      ,Female , 53 ,2012-05-11 ,              13 ,F     ,         2540000 ,Canada    ,NA    ,Insurance     ,Digital         ,Poor              ,Offshore ,Contract        ,Marketing  ,Medium         ,Yes                ,Inactive
E00102      ,Female , 57 ,2021-09-08 ,               4 ,A     ,         3450000 ,Japan     ,EU    ,Telecom       ,Cybersecurity   ,Average           ,Offshore ,Part-Time       ,HR         ,Low            ,No                 ,Active
E00103      ,Male   , 29 ,2001-04-22 ,              24 ,E     ,         3390000 ,France    ,LATAM ,Banking       ,Digital         ,Poor              ,Onshore  ,Full-Time       ,HR         ,Medium         ,Yes                ,Inactive
E00104      ,Female , 58 ,2009-10-07 ,              16 ,B     ,         2610000 ,Japan     ,LATAM ,Insurance     ,Technology      ,Average           ,Offshore ,Contract        ,Legal      ,Medium         ,Yes                ,Active
E00105      ,Female , 48 ,2017-08-27 ,               8 ,B     ,         3150000 ,Brazil    ,LATAM ,Insurance     ,Engineering     ,Average           ,Offshore ,Full-Time       ,Sales      ,Medium         ,No                 ,Active
E00106      ,Female , 31 ,2000-06-11 ,              25 ,B     ,         2980000 ,India     ,MEA   ,Energy        ,Engineering     ,Average           ,Offshore ,Part-Time       ,Finance    ,Low            ,Yes                ,Active
E00107      ,Female , 32 ,2012-04-26 ,              13 ,C     ,         1380000 ,France    ,LATAM ,Insurance     ,Human Resources ,Excellent         ,Onshore  ,Contract        ,Finance    ,Low            ,Yes                ,Active
E00108      ,Female , 39 ,2018-06-05 ,               7 ,A     ,         1990000 ,India     ,NA    ,Public Sector ,Cybersecurity   ,Excellent         ,Onshore  ,Part-Time       ,Marketing  ,High           ,Yes                ,Inactive
E00109      ,Female , 49 ,2015-04-18 ,              10 ,A     ,         1190000 ,France    ,MEA   ,Public Sector ,Technology      ,Below Average     ,Offshore ,Part-Time       ,Legal      ,Medium         ,Yes                ,Inactive
E00110      ,Male   , 22 ,2011-12-13 ,              14 ,A     ,          820000 ,Australia ,APAC  ,Banking       ,Cybersecurity   ,Excellent         ,Onshore  ,Part-Time       ,HR         ,High           ,No                 ,Active
E00111      ,Female , 45 ,2000-07-02 ,              25 ,E     ,         1680000 ,France    ,MEA   ,Retail        ,Data & AI       ,Good              ,Offshore ,Full-Time       ,Legal      ,Medium         ,Yes                ,Active
E00112      ,Male   , 38 ,2021-07-05 ,               4 ,E     ,         1410000 ,UK        ,MEA   ,Telecom       ,Digital         ,Good              ,Offshore ,Part-Time       ,Finance    ,Medium         ,Yes                ,Inactive
E00113      ,Female , 55 ,2002-05-12 ,              23 ,B     ,         3200000 ,Japan     ,NA    ,Manufacturing ,Technology      ,Excellent         ,Onshore  ,Full-Time       ,Sales      ,High           ,No                 ,Active
E00114      ,Male   , 32 ,2015-04-02 ,              10 ,B     ,         3400000 ,Singapore ,FF    ,Public Sector ,Human Resources ,Good              ,Offshore ,Full-Time       ,Operations ,Low            ,Yes                ,Active
E00115      ,Female , 32 ,2020-03-22 ,               5 ,D     ,         1540000 ,USA       ,EU    ,Retail        ,Consulting      ,Below Average     ,Onshore  ,Part-Time       ,Operations ,Medium         ,No                 ,Active
E00116      ,Male   , 22 ,2019-05-12 ,               6 ,F     ,         3420000 ,Japan     ,CIS   ,Energy        ,Data & AI       ,Excellent         ,Offshore ,Part-Time       ,HR         ,Medium         ,No                 ,Inactive
E00117      ,Female , 59 ,2020-08-25 ,               5 ,F     ,         1800000 ,UK        ,NA    ,Insurance     ,Data & AI       ,Good              ,Onshore  ,Contract        ,Finance    ,High           ,Yes                ,Inactive
E00118      ,Male   , 22 ,2020-04-07 ,               5 ,F     ,         1280000 ,UK        ,FF    ,Public Sector ,Digital         ,Average           ,Offshore ,Full-Time       ,Sales      ,High           ,Yes                ,Inactive
E00119      ,Female , 59 ,2015-05-08 ,              10 ,C     ,         3080000 ,Brazil    ,NA    ,Telecom       ,Human Resources ,Below Average     ,Offshore ,Part-Time       ,IT         ,Medium         ,Yes                ,Active
E00120      ,Male   , 47 ,2019-06-10 ,               6 ,B     ,         3200000 ,Australia ,NA    ,Energy        ,Digital         ,Poor              ,Onshore  ,Part-Time       ,Operations ,Low            ,No                 ,Active
E00121      ,Female , 28 ,2002-03-13 ,              23 ,B     ,         2350000 ,Canada    ,APAC  ,Telecom       ,Cybersecurity   ,Good              ,Onshore  ,Part-Time       ,Marketing  ,High           ,No                 ,Inactive
E00122      ,Female , 58 ,2012-07-27 ,              13 ,D     ,         1580000 ,Brazil    ,FF    ,Telecom       ,Technology      ,Average           ,Offshore ,Part-Time       ,IT         ,Low            ,No                 ,Inactive
E00123      ,Female , 50 ,2008-04-21 ,              17 ,B     ,         2920000 ,France    ,FF    ,Retail        ,Digital         ,Excellent         ,Offshore ,Full-Time       ,IT         ,High           ,Yes                ,Active
E00124      ,Male   , 50 ,2003-08-23 ,              22 ,F     ,         1700000 ,Singapore ,CIS   ,Banking       ,Technology      ,Good              ,Onshore  ,Full-Time       ,HR         ,Low            ,No                 ,Inactive
E00125      ,Male   , 29 ,2013-08-21 ,              12 ,A     ,         3330000 ,Brazil    ,EU    ,Insurance     ,Digital         ,Poor              ,Offshore ,Contract        ,Legal      ,Medium         ,Yes                ,Active
E00126      ,Male   , 36 ,2006-11-29 ,              19 ,C     ,         2430000 ,Germany   ,LATAM ,Manufacturing ,Data & AI       ,Average           ,Offshore ,Part-Time       ,Legal      ,Low            ,Yes                ,Inactive
E00127      ,Male   , 24 ,2001-07-10 ,              24 ,B     ,         3190000 ,Australia ,FF    ,Banking       ,Digital         ,Average           ,Onshore  ,Full-Time       ,Operations ,High           ,Yes                ,Active
E00128      ,Male   , 30 ,2005-06-12 ,              20 ,B     ,         2600000 ,UK        ,APAC  ,Banking       ,Engineering     ,Poor              ,Onshore  ,Part-Time       ,Sales      ,Low            ,No                 ,Active
E00129      ,Female , 46 ,2014-10-15 ,              11 ,D     ,         3230000 ,France    ,NA    ,Insurance     ,Cybersecurity   ,Average           ,Onshore  ,Full-Time       ,Finance    ,Low            ,No                 ,Active
E00130      ,Male   , 47 ,2012-08-23 ,              13 ,F     ,         3400000 ,Germany   ,CIS   ,Manufacturing ,Technology      ,Poor              ,Onshore  ,Contract        ,Finance    ,Medium         ,No                 ,Active
E00131      ,Male   , 32 ,2004-05-06 ,              21 ,B     ,         2210000 ,India     ,NA    ,Energy        ,Consulting      ,Below Average     ,Onshore  ,Contract        ,Legal      ,Medium         ,Yes                ,Inactive
E00132      ,Male   , 31 ,2021-06-03 ,               4 ,B     ,         3280000 ,UK        ,FF    ,Telecom       ,Digital         ,Below Average     ,Offshore ,Part-Time       ,IT         ,High           ,No                 ,Inactive
